day,taker_usd,taker_wallets,machine_share_pct_combined_rule,machine_pnl_per_usd_pct,people_pnl_per_usd_pct,profitable_wallets_pct
2026-08-11,8624420,9224,65.1,2.08,-0.4,50.3
2026-08-12,7504276,9087,64.5,0.41,-1.41,44.2
2026-08-13,6841759,8719,62.1,1.45,-0.62,48.0
2026-08-14,7404199,8832,59.8,0.89,-1.63,45.8
2026-08-15,5210312,7663,58.1,1.8,-0.41,47.2
2026-08-16,5335885,7911,58.9,2.09,-3.01,45.3
2026-08-17,7861719,8702,66.5,1.73,-1.45,45.1
2026-08-18,7502142,8754,65.5,2.67,-2.72,49.2
2026-08-19,8208409,9186,67.9,1.02,-3.39,43.5
2026-08-20,9090067,9260,70.3,0.68,-2.75,40.9
2026-08-21,10018580,9286,71.6,1.01,-3.35,44.2
2026-08-22,7493481,8249,69.3,2.49,-3.06,44.9
2026-08-23,7192249,7958,65.7,1.19,-3.02,47.0
2026-08-24,8622256,8674,70.9,1.01,-1.98,43.7
2026-08-25,8562527,8456,73.0,1.58,-2.23,45.6
2026-08-26,7141513,7734,68.8,1.62,-1.83,48.9
2026-08-27,8202338,8212,69.1,1.65,-2.55,47.8
2026-08-28,8248959,8083,68.7,1.06,-2.33,45.2
2026-08-29,6560688,7265,68.8,1.33,-0.42,47.6
2026-08-30,6214718,7535,68.2,1.25,-2.56,47.4
2026-08-31,6632168,7399,67.8,2.08,-3.35,48.9
2026-09-01,8752936,8100,71.0,1.31,-3.21,43.5
2026-09-02,7753688,7592,70.5,1.74,-3.56,46.3
2026-09-03,7637308,7588,66.8,0.83,-2.21,46.0
2026-09-04,8473815,7868,68.1,0.57,-2.45,44.5
2026-09-05,6227585,7136,64.4,0.3,-0.63,44.9
2026-09-06,5825056,6886,65.7,1.2,-1.71,48.0
2026-09-07,6569411,7366,66.2,0.46,-1.69,44.9
2026-09-08,7824399,7316,70.6,0.87,-3.78,46.1
2026-09-09,7481838,7303,69.4,0.74,-2.82,45.6
