Product,Mar $/day (MoM),Apr $/day (MoM),May $/day (MoM),Jun $/day (MoM),Jul $/day (MoM),Aug $/day (MoM),Aug vs Mar
BTC 15m up/down,$16.36M,$21.41M (+31%),$34.58M (+62%),$78.80M (+128%),$136.60M (+73%),$177.12M (+30%),+983%
BTC hourly above/below strike ladder,$15.79M,$18.45M (+17%),$25.06M (+36%),$43.10M (+72%),$44.92M (+4%),$39.13M (-13%),+148%
ETH 15m up/down,$1.70M,$1.75M (+3%),$1.76M (+1%),$3.51M (+100%),$7.49M (+113%),$8.75M (+17%),+415%
XRP 15m up/down,$0.74M,$0.41M (-45%),$0.48M (+18%),$1.26M (+160%),$2.16M (+72%),$3.74M (+73%),+404%
SOL 15m up/down,$0.81M,$0.52M (-35%),$0.65M (+24%),$1.16M (+79%),$2.21M (+90%),$2.92M (+32%),+262%
HYPE 15m up/down,$0.14M *14d,$0.26M (+84%),$0.37M (+46%),$1.62M (+334%),$2.59M (+60%),$2.59M (+0%),+1759%
DOGE 15m up/down,$0.11M *14d,$0.22M (+100%),$0.26M (+16%),$0.91M (+250%),$2.00M (+118%),$2.37M (+19%),+2012%
ETH hourly above/below strike ladder,$0.65M,$0.49M (-24%),$0.33M (-34%),$0.81M (+149%),$1.52M (+88%),$1.73M (+14%),+167%
BNB 15m up/down,$0.04M *25d,$0.14M (+224%),$0.21M (+53%),$0.76M (+263%),$1.40M (+84%),$1.70M (+22%),+3936%
BTC hourly range buckets (KXBTC),$1.43M,$0.69M (-52%),$0.51M (-26%),$0.56M (+10%),$1.23M (+121%),$0.86M (-30%),-40%
ZEC 15m up/down,—,—,—,$0.01M *1d,$0.31M (+4326%),$0.68M (+120%),—
NEAR 15m up/down,—,—,—,$0.01M *1d,$0.27M (+1818%),$0.53M (+96%),—
BTC monthly one-touch max (KXBTCMAXMON),$0.09M,$0.09M (-3%),$0.06M (-30%),$0.05M (-14%),$0.07M (+42%),$0.25M (+248%),+189%
ETH monthly one-touch max (KXETHMAXMON),$0.02M,$0.02M (+25%),$0.01M (-38%),$0.01M (-46%),$0.00M (-27%),$0.02M (+391%),+52%
BTC monthly one-touch min (KXBTCMINMON),$0.07M,$0.04M (-38%),$0.03M (-22%),$0.04M (+18%),$0.06M (+57%),$0.02M (-64%),-67%
SOL monthly one-touch max (KXSOLMAXMON),$0.01M,$0.01M (-9%),$0.00M (-46%),$0.01M (+46%),$0.00M (-45%),$0.01M (+251%),+40%
ETH monthly one-touch min (KXETHMINMON),$0.01M,—,$0.00M,$0.00M (-71%),$0.01M (+636%),$0.00M (-63%),-73%
