Product,Mar $/day (MoM),Apr $/day (MoM),May $/day (MoM),Jun $/day (MoM),Jul $/day (MoM),Aug $/day (MoM),Aug vs Mar
BTC 5m up/down,$13.42M,$31.06M (+131%),$22.17M (-29%),$23.95M (+8%),$21.62M (-10%),$14.39M (-33%),+7%
BTC 15m up/down,$3.48M,$6.13M (+76%),$4.17M (-32%),$3.65M (-12%),$2.83M (-22%),$2.47M (-13%),-29%
BTC daily close-price ladder (multi-strikes),$1.97M,$4.55M (+131%),$3.08M (-32%),$2.89M (-6%),$1.83M (-37%),$1.49M (-18%),-24%
ETH 5m up/down,$1.50M,$3.12M (+108%),$2.16M (-31%),$1.93M (-11%),$1.97M (+2%),$1.01M (-49%),-33%
BTC monthly touch ladder (hit-price monthly),$3.91M,$3.32M (-15%),$1.85M (-44%),$1.41M (-24%),$1.13M (-20%),$0.81M (-29%),-79%
BTC hourly up/down,$1.59M,$2.13M (+34%),$1.10M (-48%),$0.96M (-12%),$0.83M (-14%),$0.74M (-11%),-54%
ETH 15m up/down,$0.79M,$1.45M (+84%),$0.85M (-41%),$0.73M (-14%),$0.65M (-11%),$0.48M (-27%),-39%
ETH daily close-price ladder (multi-strikes),$0.45M,$0.91M (+104%),$0.53M (-42%),$0.54M (+3%),$0.32M (-40%),$0.34M (+6%),-23%
SOL 5m up/down,$0.69M,$1.34M (+95%),$0.70M (-48%),$0.74M (+6%),$0.78M (+5%),$0.32M (-59%),-54%
BTC daily up/down,$0.20M,$0.36M (+80%),$0.33M (-10%),$0.34M (+4%),$0.29M (-15%),$0.27M (-7%),+34%
BTC weekly touch ladder (hit-price weekly),$0.29M,$0.37M (+29%),$0.22M (-41%),$0.23M (+6%),$0.17M (-29%),$0.25M (+51%),-14%
BTC daily touch ladder (hit-price daily),$0.16M *26d,$0.68M (+316%),$0.60M (-12%),$0.58M (-3%),$0.30M (-48%),$0.24M (-20%),+48%
ETH monthly touch ladder,$1.16M,$0.84M (-27%),$0.36M (-57%),$0.29M (-20%),$0.27M (-6%),$0.20M (-27%),-83%
BTC 4h up/down,$0.11M,$0.24M (+108%),$0.17M (-28%),$0.14M (-15%),$0.13M (-8%),$0.19M (+39%),+64%
BTC neg-risk weekly ladder,$0.52M,$0.76M (+47%),$0.44M (-43%),$0.28M (-35%),$0.18M (-36%),$0.16M (-14%),-70%
SOL 15m up/down,$0.32M,$0.62M (+92%),$0.33M (-47%),$0.32M (-4%),$0.30M (-6%),$0.16M (-48%),-52%
XRP 5m up/down,$0.46M,$0.86M (+88%),$0.44M (-48%),$0.38M (-15%),$0.43M (+15%),$0.14M (-67%),-69%
ETH hourly up/down,$0.44M,$0.54M (+23%),$0.25M (-53%),$0.22M (-13%),$0.20M (-9%),$0.14M (-32%),-69%
ETH daily up/down,$0.03M,$0.10M (+205%),$0.10M (-6%),$0.09M (-2%),$0.08M (-15%),$0.10M (+26%),+202%
XRP 15m up/down,$0.24M,$0.46M (+89%),$0.24M (-48%),$0.19M (-20%),$0.19M (-3%),$0.09M (-49%),-61%
ETH weekly touch ladder,$0.09M,$0.11M (+23%),$0.06M (-42%),$0.06M (+2%),$0.05M (-15%),$0.09M (+59%),-1%
ETH 4h up/down,$0.04M,$0.08M (+70%),$0.04M (-44%),$0.04M (-0%),$0.04M (+4%),$0.07M (+50%),+48%
DOGE 5m up/down,$0.06M *19d,$0.20M (+216%),$0.14M (-29%),$0.10M (-30%),$0.14M (+42%),$0.05M (-61%),-14%
BNB 5m up/down,$0.05M *19d,$0.20M (+337%),$0.12M (-38%),$0.07M (-41%),$0.17M (+135%),$0.05M (-70%),+12%
ETH daily touch ladder,$0.04M *22d,$0.13M (+232%),$0.15M (+9%),$0.16M (+12%),$0.07M (-55%),$0.05M (-33%),+22%
BTC hourly close-price ladder (multi-strikes),$0.09M *12d,$0.14M (+69%),$0.07M (-52%),$0.06M (-18%),$0.06M (+15%),$0.04M (-33%),-50%
BNB 15m up/down,$0.02M *19d,$0.04M (+139%),$0.04M (+5%),$0.03M (-24%),$0.03M (-1%),$0.04M (+26%),+139%
SOL monthly touch ladder,$0.47M,$0.23M (-51%),$0.11M (-53%),$0.10M (-4%),$0.09M (-16%),$0.04M (-56%),-92%
ETH neg-risk weekly ladder,$0.19M,$0.29M (+53%),$0.13M (-53%),$0.08M (-41%),$0.05M (-33%),$0.04M (-31%),-80%
XRP daily close-price ladder,$0.04M,$0.07M (+91%),$0.09M (+18%),$0.09M (+4%),$0.03M (-65%),$0.04M (+14%),-8%
XRP monthly touch ladder,$0.17M,$0.10M (-41%),$0.08M (-16%),$0.07M (-19%),$0.04M (-36%),$0.03M (-25%),-80%
DOGE 15m up/down,$0.02M *19d,$0.05M (+120%),$0.05M (-1%),$0.04M (-16%),$0.04M (-3%),$0.03M (-15%),+49%
SOL daily close-price ladder,$0.06M,$0.08M (+22%),$0.08M (-2%),$0.06M (-23%),$0.02M (-68%),$0.03M (+62%),-53%
SOL hourly up/down,$0.15M,$0.20M (+32%),$0.10M (-52%),$0.07M (-25%),$0.06M (-13%),$0.03M (-54%),-81%
XRP hourly up/down,$0.12M,$0.14M (+16%),$0.07M (-48%),$0.06M (-25%),$0.05M (-19%),$0.03M (-40%),-78%
ETH hourly close-price ladder (multi-strikes),$0.04M *12d,$0.08M (+88%),$0.05M (-37%),$0.04M (-24%),$0.04M (+11%),$0.02M (-40%),-40%
SOL 4h up/down,$0.02M,$0.04M (+124%),$0.02M (-41%),$0.03M (+20%),$0.02M (-29%),$0.02M (+20%),+36%
XRP 4h up/down,$0.01M,$0.04M (+184%),$0.02M (-48%),$0.02M (-0%),$0.01M (-46%),$0.02M (+90%),+50%
HYPE 5m up/down,$0.06M *19d,$0.13M (+120%),$0.08M (-38%),$0.05M (-38%),$0.07M (+39%),$0.02M (-70%),-65%
HYPE 15m up/down,$0.01M *19d,$0.02M (+75%),$0.03M (+11%),$0.02M (-34%),$0.02M (+5%),$0.02M (-15%),+15%
SOL neg-risk weekly ladder,$0.05M,$0.05M (+7%),$0.06M (+28%),$0.05M (-27%),$0.02M (-63%),$0.01M (-31%),-74%
DOGE hourly up/down,$0.01M *19d,$0.02M (+178%),$0.02M (-6%),$0.02M (-0%),$0.01M (-40%),$0.01M (+5%),+64%
BNB hourly up/down,$0.00M *24d,$0.01M (+166%),$0.02M (+34%),$0.01M (-12%),$0.01M (-34%),$0.01M (+14%),+133%
XRP neg-risk weekly ladder,$0.03M,$0.07M (+99%),$0.06M (-10%),$0.04M (-40%),$0.02M (-48%),$0.01M (-55%),-75%
XRP weekly touch ladder,$0.02M,$0.01M (-41%),$0.01M (+17%),$0.01M (-43%),$0.00M (-39%),$0.01M (+72%),-58%
SOL daily up/down,$0.01M,$0.01M (+72%),$0.01M (-4%),$0.02M (+76%),$0.01M (-22%),$0.01M (-47%),+19%
XRP daily up/down,$0.00M,$0.01M (+104%),$0.01M (-41%),$0.01M (+136%),$0.01M (-53%),$0.01M (+11%),+46%
SOL weekly touch ladder,$0.02M,$0.01M (-4%),$0.01M (-27%),$0.01M (+10%),$0.00M (-67%),$0.01M (+29%),-67%
DOGE monthly touch ladder,$0.02M,$0.02M (-9%),$0.02M (+22%),$0.02M (+7%),$0.01M (-68%),$0.00M (-37%),-76%
HYPE monthly touch ladder,$0.03M,$0.02M (-25%),$0.01M (-65%),$0.01M (+104%),$0.01M (-54%),$0.00M (-84%),-96%
BNB monthly touch ladder,$0.04M,$0.01M (-74%),$0.00M (-66%),$0.00M (-27%),$0.00M (-43%),$0.00M (-52%),-98%
